-1,"This is a beautiful quaint little restaurant on a pretty street.  If you're strolling through soho around lunchtime, this would be a great place to stop for a bite. I heard the reviews about the lamb sandwich, so I had to try it. I'm very happy that i did. Every single ingredient - from the bread to the onions and tomatoes, the lamb and the sauce - was delicious. These four stars are well deserved because of the tasty sandwich and great ambiance.  I would recommend this place to anyone."
-1,"Peppinos is far superior to your typical neighborhood slice shop but it isn't a destination pizza place. The staff is friendly to a fault, which almost makes up for the errors in their food. 2 out of the last 3 times that I've ordered pies from them, they have put the wrong toppings on the pies. I'm not a picky guy but it is annoying when you are paying $20 + for a pizza. I'm not sure what the issue is but I hope they get it fixed. Delivery service is inconsistent in delivery time (15-45 minutes) but the food does arrive hot every time. In addition to their pies their salads and sandwiches are also delicious, especially the pepperoni hero."
-1,Great pizza! My go to place when I want something that hits the spot. They use all fresh ingredients and they are very generous with their pizza topping . Def check them out if you haven't already .. You won't be disappointed
-1,"This probably one of my top 10 favorite restaurants! I order the ravioli and it was amazing! The marina sauce was the best, Homemade and delicious. Though I recommend coming in hungry because it fills you up and portion are kinda big. It was a like I was in Italy and the atmosphere is very laid back.   Definitely A must if your visiting New York!"
-1,"Great place, great food. I have in both Brooklyn locations and have almost enjoy a good meal."
-1,"This place is pretty close to perfect.  Amazing brick oven, wood fired pizza, incredible heros made with homemade, amazing dough.  Sauce is fresh, barely touched using great products.  Incredibly warm and nice staff both in person and on the phone.  This isn't a complaint but a request.... I wish they had a few more appetizer choices, i think they could do a really good fried mozzarella app, fried calamari, maybe an arancine? I also wish they would make a clam pizza which when done well by great pizza restaurants is absolutely amazing.   I just feel like they would do everything well and this would be great.  Keep it up Peppinos, you guys are great in every way."
-1,"Food is creative and thought provoking - but make sure you eat before you go.  Portions are ridiculously small and left me feeling short-changed and hungry.  Had the celery oyster stew.  I know it's Brooklyn, but since when did potato and oyster cracker filler cost this much?  The stew scarcely covered the bottom of a cavernous bowl.  Conversation throughout dinner tended to echo off the exposed sides of said bowl. Heard every story twice.  Dekalb, maybe focus less on furbishing the walls of your restaurant, and more on furbishing the walls of my bowl of cheap-ingredient-yet-fancy-named-stew.  Probably won't be a next time. P.S. Semi-redeeming quality: Squash Tots.  Good concept, but ""squash"" becomes more of a verb upon meeting a fork."
-1,"The food was good and the atmosphere very nice - but unfortunately the NYC heath inspection reveals several serious violations - nyc.gov/html/doh/html/se… Violations recorded in the following area (s) and a Notice of Violation issued at the reinspection conducted on 07/22/2013. ""Critical"" violations   Violation points: 19 Sanitary Violations 1) Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation. 2) Evidence of mice or live mice present in facility's food and/or non-food areas. 3) Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist. 4) Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes."
-1,Went there last sunday with my gf. We both enjoyed the food - especially the carpaccio and also the mussels were delicious. Try the creme brûlée - it was fantastic!
-1,I am a fan!
